Unidade de negócio,Case Name,Cliente,Ano do case,MD,Focal do time,Setor,Produto,Status,ID,Created,Item Type,Path
Finance;#Strategy,FIS Global: FIS Global - FIS growth business plan,FIS Global,2024,"Pela, Mauricio;#18;#Mendes, Carlos;#16","Azevedo, Larissa;#442",7;#Serviços Financeiros,421;#Planejamento estratégico;#507;#Commercial strategy;#508;#Growth Strategy,Validado,1239,19/8/2024 10:58,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),FLC - Industrial,R&D Comercio e Importação Exportação de Materiais Elétricos S.A.,2018,"Sampaio de Oliveira, Eduardo;#19",,9;#Varejo e bens de consumo,243;#Valuation;#305;#Closing of the TSA (Transaction service agreement),Em validação,923,7/2/2023 14:36,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Flytour: M&A Sell Side​,Flytour,2021,"Fernandes, George;#427","Eguti, Rafael;#489",153;#Viagem e Lazer,31;#Mergers and Acquisition (M＆A) Performance,Validado,156,18/10/2022 07:17,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Fortbras,Fortbras,2019,"Sampaio de Oliveira, Eduardo;#19",,21;#Transporte e armazenamento,36;#Financial Transformation,Em validação,1060,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
PEPI,Fortbras Autopeças: Otimização de custos logísticos  (TOM),Fortbras Autopeças,2023,"Munier, Kevin;#26","Ferla, Joao;#430",17;#Varejo;#19;#Automotivo,377;#Acompanhamento da fase de otimização e transformação (IMO),Validado,1198,11/3/2024 06:10,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Fortbras: Renegociação de contas em Frete e TI e Telecom,Fortbras,2019,"Munier, Kevin;#26","Marcilio, Caio;#54",19;#Automotivo;#9;#Varejo e bens de consumo,2;#Reduction of G＆A costs and indirect costs,Validado,20,7/10/2021 12:26,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Frooty -  Bens de Consumo,Frooty Açaí,2018,"Sampaio de Oliveira, Eduardo;#19",,9;#Varejo e bens de consumo,306;#Logistics;#307;#Distributor disitermediation,Em validação,1048,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Frooty Açaí: Diagnóstico de pricing,Frooty Açaí,2018,"Kneubuhler, Markus;#50","Manfrinatti, Ana Paula;#75",11;#Alimentos,71;#Pricing,Validado,76,8/4/2022 14:21,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Frooty Açaí: Diagnóstico e melhorias em operações,Frooty Açaí,2019,"Kneubuhler, Markus;#50","Santana, Newton;#21;#Manfrinatti, Ana Paula;#75",11;#Alimentos,45;#Operations planning,Validado,8,5/10/2021 12:18,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Healthcare Industry Group,Fundação Copel: Copel Saúde,Fundação Copel,2023,"Compte, Marcelo;#3269","Chimionato, Roberto;#3190",25;#Saúde,469;#Custo para servir (C2S),Validado,1209,20/3/2024 08:00,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),General Cable,General Cable,2018,,"Mariano, Diogo;#612",22;#Máquinas e equipamentos,2;#Reduction of G＆A costs and indirect costs;#56;#Operating Model,Validado,31,8/10/2021 10:32,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),GEP: Varejo,GEP ,2015,"Coelho, Leonardo;#1356","Kessler, Joao;#45",9;#Varejo e bens de consumo;#14;#Comércio,218;#Interim Management;#196;#Corporate restructuring,Validado,32,8/10/2021 10:33,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Gran Cursos Online: Project Quality Assurance e PMO​,Gran Cursos,2022,"Bonora, Ricardo;#116","Milani, Heitor;#295",115;#Educação,212;#ERP;#213;#Totvs,Validado,143,8/9/2022 13:20,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services,Gran Cursos: Gran Cursos - IT PMI,Gran Cursos,2023,"Quintao, Fabio;#23","Munari, Fernanda;#2091",115;#Educação,388;#PMI,Validado,1259,27/9/2024 05:30,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Gran Cursos: Seleção de fornecedor AMS ,Gran Cursos,2022,"Quintao, Fabio;#23","Domingues, Alexandre;#364",115;#Educação,63;#Software Selection,Validado,134,15/8/2022 04:36,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
ESG,Green Farming: Parecer de Segunda Opinião,Green Farming,2022,"Santos, Gustavo;#25","Marques, Carolina;#439",13;#Agronégocio,176;#ESG Reporting,Validado,121,30/6/2022 10:57,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Grupo Abril - Telecomunicações,Abril Comunicações,2018,"Haaland, Marcos;#173",,"16;#Telecomunicações, Mídia e Tecnologia",301;#Gestão (gestão interina),Em validação,935,7/2/2023 14:36,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Grupo Abril: Digital Transformation Office,Grupo Abril,2019,,"Almeida, Luiza;#183","16;#Telecomunicações, Mídia e Tecnologia",65;#Digital;#66;#Organizational Efficiency and Talent Management;#38;#Organizational Transformation,Validado,48,30/11/2021 07:31,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance;#Corporate Transformation,Grupo Casas Bahia: Grupo Casas Bahia - Legal - Revisão diagnóstico passivo judicial,Grupo Casas Bahia,2024,"Hong, Rodrigo;#441","Pincelli, Lucas;#3038",14;#Comércio,503;#Estudo causa raiz - Legal;#473;#Operação e Esteiras jurídicas,Validado,1231,23/7/2024 05:03,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Grupo CCRR: 100 day plan,Grupo CCRR,2021,"Mendes, Carlos;#16","Ferreira, Henrique;#286",116;#Papel e Celulose,219;#100 day plan,Validado,171,3/11/2022 14:59,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Grupo CRM: Forecast para S&OP,Grupo CRM,2021,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",11;#Alimentos,104;#Data Analytics,Validado,52,19/1/2022 04:44,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Grupo CRM: Orçamento de receitas,Grupo CRM,2021,"Munier, Kevin;#26","Carbinatto, Lucas;#66",11;#Alimentos,155;#Budget,Validado,86,18/4/2022 10:16,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Grupo Fiorese: Análise Financeira,Grupo Fiorese,2023,"Mendes, Carlos;#16","Eguti, Rafael;#489",12;#Agricultura,484;#Finance,Validado,1219,27/3/2024 12:19,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Gestão (CT),Grupo Iberconsa: Avaliação modelo operacional,Grupo Iberconsa,2022,"Mendes, Carlos;#16",,156;#Pesca,280;#Gestão,Validado,1119,5/5/2023 09:50,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Grupo JCR: IT Due Diligence Mercado Bitcoin,Grupo JCR,2020,"Quintao, Fabio;#23","Vieira, Thiago;#340",81;#Serviços gerais e administrativos,47;#IT Due Diligence,Validado,69,31/3/2022 11:25,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Transformação Corporativa (CT),Grupo Linde - Industrial,The Linde Group,2014,"Sampaio de Oliveira, Eduardo;#19",,79;#Industrial,288;#Performance Improvement and Playbook,Em validação,932,7/2/2023 14:36,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Healthcare Industry Group,Grupo NotreDame Intermedica: Clinipam: Suficiência de Rede,Grupo NotreDame Intermedica,2022,"Compte, Marcelo;#3269","Chimionato, Roberto;#3190",25;#Saúde,473;#Operação e Esteiras jurídicas,Validado,1210,20/3/2024 08:01,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Gestão (CT),"Grupo Resinas Brasil: Revisão de Modelo Organizacional, FP&A e S&OP",Grupo Resinas Brasil,2022,"Kneubuhler, Markus;#50","Corintho, Lucas;#81",24;#Químico e Petroquímico,57;#Operational model redesign,Validado,113,27/5/2022 06:41,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Grupo São Lucas (Hemomed): Transformation Management Office ​,Grupo São Lucas (Hemomed),2023,"Quintao, Fabio;#23","Domingues, Alexandre;#364",25;#Saúde,141;#A＆M offers,Validado,849,27/1/2023 13:41,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services,H.I.G. Capital Brazil : IT Due Diligence ,H.I.G. Capital Brazil ,2022,"Quintao, Fabio;#23","Lopes, Joao;#458",7;#Serviços Financeiros,,Validado,1265,30/9/2024 13:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Heineken: Desenvolvimento de Data Governance,Heineken,2021,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",8;#Bebidas,104;#Data Analytics,Validado,53,19/1/2022 04:46,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Heineken: Plataforma para Assessment,Heineken,2021,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",8;#Bebidas,104;#Data Analytics,Validado,54,19/1/2022 04:58,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Hemomed : Diagnóstico de TI,Grupo São Lucas (Hemomed),2022,"Quintao, Fabio;#23","Fernandes, Victor;#144",25;#Saúde,83;#IT Diagnosis,Validado,73,31/3/2022 11:31,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Henry Schein Brasil - Saúde,Quantity Servicos e Comercio de Produtos Para Saude S.A.,2019,"Sampaio de Oliveira, Eduardo;#19",,25;#Saúde,47;#IT Due Diligence,Em validação,1032,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Henry Schein: ​​Diagnóstico de TI e Quality Assurance de projetos,Henry Schein,2020,"Quintao, Fabio;#23","Ricupero, Luis;#22",14;#Comércio;#25;#Saúde,62;#IT Consulting;#83;#IT Diagnosis,Validado,9,5/10/2021 12:19,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Healthcare Industry Group,HGB Hospital Grande Belem: BP & Captação de Recursos,HGB Hospital Grande Belem,2023,"Compte, Marcelo;#3269","Chimionato, Roberto;#3190",25;#Saúde,445;#Business Plan,Validado,1211,20/3/2024 08:04,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Highland Park Comercio e Importação: Diagnóstico de TI,Highland Park Comercio e Importação,2020,"Quintao, Fabio;#23","Vieira, Thiago;#340",17;#Varejo,214;#IT Diagnosis,Validado,144,8/9/2022 13:20,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Hirota Food: Business Case de plano de Expansão​,Hirota Food,2020,"Kneubuhler, Markus;#50","Fiorini, Vitor Hugo;#24",11;#Alimentos,206;#Growth Strategy,Validado,138,29/8/2022 08:31,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Hirota: Planejamento estratégico ,Hirota Food,2020,"Kneubuhler, Markus;#50","Fiorini, Vitor Hugo;#24",17;#Varejo;#11;#Alimentos,154;#Business model,Validado,19,7/10/2021 11:23,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Hospital Care: 13 week cash flow,Hospital Care,2021,"Munier, Kevin;#26","Garcia, Maira;#297",25;#Saúde,157;#Working Capital Optimization,Validado,120,30/6/2022 10:38,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Healthcare Industry Group,Hospital Mãe de Deus: Projeto Farroupilha,Hospital Mãe de Deus,2023,"Compte, Marcelo;#3269","Chimionato, Roberto;#3190",25;#Saúde,421;#Planejamento estratégico,Validado,1208,20/3/2024 08:00,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
PEPI (CT),Hotmart: integração da Hotmart com a eNotas,Hotmart,2022,"Munier, Kevin;#26","Godoi, Thalles;#875",115;#Educação,232;#Post-Merger Integration (PMI),Validado,183,14/12/2022 07:56,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Gestão (CT),iByte: Elaboração do planejamento estratégico,iByte,2022,"Kneubuhler, Markus;#50","Lupion, Bruna;#135",18;#Eletrônico,327;#Governance,Validado,1113,5/5/2023 07:07,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),iByte: Estratégia,iByte,2022,"Pela, Mauricio;#18","Hashiba, Rafael;#250",17;#Varejo,,Validado,1108,28/4/2023 11:29,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Imcopa - Agronegócio,FEMA 2 INVESTIMENTOS E PARTICIPAÇÕES LTDA,2018,"Sampaio de Oliveira, Eduardo;#19",,13;#Agronégocio,196;#Corporate restructuring,Em validação,857,7/2/2023 14:35,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Ingredion - Alimentos,Ingredion,2019,"Kneubuhler, Markus;#50",,11;#Alimentos,302;#Performance Management,Em validação,1041,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Ingredion Incorporated: Revisão do modelo operacional (fase 3),Ingredion Incorporated,2020,"Kneubuhler, Markus;#50","Ribeiro, Joao;#227;#Eleuterio, Pamela;#735",11;#Alimentos,56;#Operating Model,Validado,63,22/3/2022 06:25,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Ingredion Incorporated: Sourcing ,Ingredion Incorporated,2021,"Kneubuhler, Markus;#50","Ribeiro, Joao;#227;#Eleuterio, Pamela;#735",11;#Alimentos,28;#Strategic Sourcing ＆ Procurement,Validado,64,22/3/2022 06:27,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Ingredion: Melhoria de Performance,Ingredion Incorporated,2019,"Kneubuhler, Markus;#50","Ribeiro, Joao;#227",11;#Alimentos,56;#Operating Model,Validado,21,8/10/2021 05:49,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Insolo Agroindustrial - Agronegócio,Phemus Corporation,2016,"Grillo, Gonzalo;#3268",,13;#Agronégocio,,Em validação,892,7/2/2023 14:35,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),IPA Automotivo: gestão interina e assessoria financeira ,IPA Automotivo,2018,"Sampaio de Oliveira, Eduardo;#19","Chan, Paulo;#61",19;#Automotivo,57;#Operational model redesign,Validado,98,3/5/2022 04:45,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Ipiranga Produtos de Petróleo S.A.: Venda de Carteira (NPL),Ipiranga Produtos de Petróleo S.A.,2021,"Mendes, Carlos;#16","Eguti, Rafael;#489",125;#Combustível,36;#Financial Transformation,Validado,157,18/10/2022 07:18,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),Ipiranga: Collection,Ipiranga,2021,"Mendes, Carlos;#16","Garay, Janice;#180",24;#Químico e Petroquímico,193;#Administrative / judicial collection,Validado,83,14/4/2022 06:59,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),J&T Express: J&T EXPRESS BRAZIL - Modelo Operacional e Custos,J&T Express,2023,"Mendes, Carlos;#16","Gimenes, Vinicius;#478",21;#Transporte e armazenamento,,Validado,1123,19/6/2023 10:18,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Jacobsen Companhia de Cultivos - Agronegócio,JCC - Jacobsen Companhia de Cultivos,2015,"Mattos, Rodrigo;#3912",,13;#Agronégocio,240;#Financial management,Em validação,885,7/2/2023 14:35,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),Jequiti: Crescimento de Receita,Jequiti,2022,"Pela, Mauricio;#18","Neto, Luiz;#335","140;#Cosméticos, Produtos de perfumaria e Higiene",171;#Reveneue Enhancements,Validado,112,24/5/2022 12:01,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Kellogg’s: Otimização de Caixas,Kellogg’s,2021,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",11;#Alimentos,104;#Data Analytics,Validado,55,19/1/2022 05:01,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),Kelloggs: Finance - Hedge,Kelloggs,2023,"Mendes, Carlos;#16","Ferrari, Daniel;#2592",11;#Alimentos,249;#Risk management,Validado,1148,22/9/2023 05:40,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),Kelloggs: Kellogg - GTM Peru,Kelloggs,2023,"Pela, Mauricio;#18","Reis, Igor;#205",11;#Alimentos,339;#Go to Market / Route to Market,Validado,1124,20/6/2023 10:25,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy,Kelloggs: Kellogg CT,Kelloggs,2024,"Pela, Mauricio;#18","Reis, Igor;#205",11;#Alimentos,380;#Transformação Corporativa;#436;#Redução de custos G＆A e custos indiretos;#469;#Custo para servir (C2S),Validado,1215,22/3/2024 10:42,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy,Kellogg's: RTM Colômbia,Kellogg's,2024,"Pela, Mauricio;#18","Giacometti, Marceli;#4605",11;#Alimentos,416;#Logística e distribuição [Operações logísticas],Validado,1220,1/4/2024 11:16,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Land Maastricht: Diagnóstico CT Finance,Land Maastricht,2024,"Mendes, Carlos;#16","Kumagai, Victor;#270",,414;#Strategic Sourcing (indirect),Validado,1233,15/8/2024 07:53,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Lavoro Agro: estruturação de área de compras e mapeamento do processo integrado de compras diretas ,Lavoro Agro,2021,"Kneubuhler, Markus;#50","Avila, Henrique;#253",12;#Agricultura,28;#Strategic Sourcing ＆ Procurement,Validado,177,21/11/2022 05:51,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),LDC Juice,Louis Dreyfus Company,2020,"Rino, Tiago;#14",,8;#Bebidas,291;#Performance Improvement and Playbook,Em validação,1066,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),LDC Juice: excelência operacional,LDC Juice,2020,"Sampaio de Oliveira, Eduardo;#19","Fiorini, Vitor Hugo;#24",8;#Bebidas,198;#Overall Equipment Effectiveness (OEE);#199;#Operations,Validado,10,5/10/2021 12:20,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),LIQ: Redução de custos de TI,LIQ ,2019,"Quintao, Fabio;#23","Ricupero, Luis;#22","16;#Telecomunicações, Mídia e Tecnologia",203;#IT Cost Optimization,Validado,33,8/10/2021 10:35,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Listo Meio de Pagamentos: Construção do business blueprint,Listo Meio de Pagamentos,2019,"Quintao, Fabio;#23","Pascoli, Rafael;#71","16;#Telecomunicações, Mídia e Tecnologia",42;#ERP System,Validado,93,28/4/2022 04:42,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
PEPI (CT),Localfrio - Transporte e logística,Localfrio,2021,"Sampaio de Oliveira, Eduardo;#19",,21;#Transporte e armazenamento,288;#Performance Improvement and Playbook,Em validação,1012,7/2/2023 14:36,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Localfrio: Melhoria de performance,Localfrio,2018,"Mendes, Carlos;#16","Watanabe, Bianca;#311",11;#Alimentos;#21;#Transporte e armazenamento;#6;#Logistica,45;#Operations planning,Validado,29,8/10/2021 09:09,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Localiza: Localiza - Legal,Localiza,2023,"Hong, Rodrigo;#441","Pincelli, Lucas;#3038",19;#Automotivo,460;#Governança e Estrutura Organizacional de Legal,Validado,1196,7/3/2024 05:19,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services,Locaweb: it capacity,Locaweb,2023,"Quintao, Fabio;#23","Weiss, Ian;#193",60;#Tecnologia,523;#Desenho Organizacional de TI,Validado,1261,27/9/2024 06:47,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),Locaweb: Suprimentos Indiretos,Locaweb,2023,"Mendes, Carlos;#16","Castro, Alexandre;#299",359;#Tecnologia,27;#Supplier management,Em validação,1153,29/9/2023 12:35,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Log&Print: M&A,Log&Print,2019,,"Vitti, Andre;#1104;#Tanuri, Rayan;#767",116;#Papel e Celulose,31;#Mergers and Acquisition (M＆A) Performance,Validado,34,8/10/2021 10:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Lojas Americanas: Americanas - Legal,Lojas Americanas,2024,"Hong, Rodrigo;#441","Estrella, Karen;#1974",9;#Varejo e bens de consumo,389;#Legal,Validado,1237,17/8/2024 11:25,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Luft Logistics: Eficiência Operacional Centros de Distribuição,Luft Logistics,2021,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",6;#Logistica,104;#Data Analytics,Validado,56,19/1/2022 05:04,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),M. Dias Branco,M. Dias Branco,2020,"Rino, Tiago;#14",,11;#Alimentos,292;#Assessment,Em validação,1072,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,M. Dias Branco: Acompanhamento Resultados RPA,M. Dias Branco,2021,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",11;#Alimentos,104;#Data Analytics,Validado,57,19/1/2022 05:06,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),M. Dias Branco: Avaliação holística e implementação,M. Dias Branco,2020 ,"Rino, Tiago;#14","Corintho, Lucas;#81",11;#Alimentos,165;#Performance Management,Validado,23,8/10/2021 06:05,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),M. Dias Branco: IT Due Diligence,M. Dias Branco,2021,"Bonora, Ricardo;#116","Massao, Marcos;#86",11;#Alimentos,47;#IT Due Diligence,Validado,1093,28/2/2023 11:38,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),Maré Fertilizantes: Iniciativas de Otimização,Maré Fertilizantes,2023,"Mendes, Carlos;#16","Perisse Lobo, Rodrigo;#410",237;#Fertilizantes,332;#Treasury,Validado,1121,11/5/2023 09:41,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Matrix & Titan: Due Diligence de TI e Operacional,Matrix & Titan,2021,"Kneubuhler, Markus;#50","Carbinatto, Lucas;#66","16;#Telecomunicações, Mídia e Tecnologia",47;#IT Due Diligence;#48;#Operational Due Diligence (ODD) and Business Due Diligence (BDD),Validado,47,11/11/2021 04:39,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Mercado BitCoin: IT Due Diligence,Mercado Bitcoin,,,,,,Em validação,1139,27/7/2023 07:11,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Messer CVC: Transport Invoice,Messer CVC,2020,"Pela, Mauricio;#18","Dias, Beatriz;#269",20;#Óleo e Gás Natural,179;#Competitive Analysis,Validado,124,6/7/2022 11:24,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Messer Gases: CSC Digital Transformatio,Messer Gases,,,,,,Em validação,1137,27/7/2023 07:02,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Metasa: Sourcing de Indiretos,Metasa,2023,"Mendes, Carlos;#16","Fukue, Flavio;#32",105;#Mineração e Siderurgia,436;#Redução de custos G＆A e custos indiretos,Validado,1238,17/8/2024 11:32,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Transformação Corporativa,Metasa: Transformação corporativa,Metasa,2024,"Bortolotto, Pedro;#914;#Bonaldo Alves, Filipe;#3531;#Menano, Joao;#2472","Baldaia, Alef;#1617",105;#Mineração e Siderurgia,377;#Acompanhamento da fase de otimização e transformação (IMO),Validado,1193,7/2/2024 09:02,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),Minalba: Otimização Operacional,Minalba,2021,,"Gehlen, Maria Eduarda;#459",8;#Bebidas,199;#Operations,Validado,1122,5/6/2023 10:53,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),"Minalba: Supply, Industria e Logistica",Minalba,2021,"Sampaio de Oliveira, Eduardo;#19","Gehlen, Maria Eduarda;#459",8;#Bebidas,,Validado,1130,11/7/2023 12:11,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Mosaic Fertilizantes: Mosaic Fertilizantes - Strategic Sourcing,Mosaic Fertilizantes,2023,"Mendes, Carlos;#16","Cremasco, Bruno;#1952",13;#Agronégocio,414;#Strategic Sourcing (indirect),Validado,1250,19/9/2024 09:21,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Mosaic Fertilizantes: Tombamento Contratos de Indiretos,Mosaic Fertilizantes,2024,"Mendes, Carlos;#16","Cremasco, Bruno;#1952",124;#Mineração,397;#Renegociação de contratos de compras,Validado,1251,19/9/2024 09:24,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Mosaic Fertilizantes: Tombamento Contratos de Indiretos,Mosaic Fertilizantes,2024,"Mendes, Carlos;#16","Cremasco, Bruno;#1952",124;#Mineração,397;#Renegociação de contratos de compras,Validado,1252,19/9/2024 09:24,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Mosaic Fertilizantes: Tombamento Contratos de Indiretos,Mosaic Fertilizantes,2024,"Mendes, Carlos;#16","Cremasco, Bruno;#1952",124;#Mineração,397;#Renegociação de contratos de compras,Validado,1253,19/9/2024 09:24,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Transformação Corporativa,Moshe 3000: Projeto Moshe 3000,Moshe 3000,2023,"Pela, Mauricio;#18","Brito, Barbara;#1928",26;#Construção e infraestrutura,377;#Acompanhamento da fase de otimização e transformação (IMO),Validado,1185,9/1/2024 09:49,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Transformação Corporativa,Moshe 3000: Projeto Moshe 3000,Moshe 3000,2023,"Pela, Mauricio;#18","Brito, Barbara;#1928",26;#Construção e infraestrutura,377;#Acompanhamento da fase de otimização e transformação (IMO),Validado,1186,9/1/2024 09:49,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Mubadala: Electronic Trading e Serviços da Bolsa de Valores,Mubadala,,,,,,Em validação,1142,27/7/2023 08:12,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Mubadala: IT Consulting,Mubadala,2021,"Quintao, Fabio;#23","Weiss, Ian;#193",26;#Construção e infraestrutura,62;#IT Consulting,Validado,153,6/10/2022 11:29,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Mubadala: IT Due Diligence,Mubadala,2020,"Quintao, Fabio;#23","Weiss, Ian;#193",139;#Bancários,47;#IT Due Diligence,Validado,154,6/10/2022 11:30,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
